ï»¿Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,6.038339644,3.798872168,4.480223622,5.357172335,6.559714769,5.955290762,6.470400067,6.907382374,5.754700422,-5.011937411,0.655325112,1.982003144,0.492189952
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,7.069569946,7.313345505
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,5.123124976,1.6883736,2.801865677,1.925321407,3.138786775,3.163130123,2.621779104,2.008315698,1.17542339,-2.711467282,3.374248555,2.96010266,1.922864994
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270403675,1.466912709,3.968783812,1.081918311
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,-2.489450099,4.464782641,3.616488017,-5.397469235,5.994991722,0.908086102,3.639311193,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,4.112756215
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454897,-1.036431779,5.753708903,5.839640585,5.457130618
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,8.429282161,8.29837441,9.090909091,10.01997337,10.07564297,11.35239142,12.6882251,14.19496167,9.623377486,9.233551095,10.63170823,9.484506202,7.750297593
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,1.417852661,11.8482468,2.324779259,2.104101953,1.919602379,2.837407764,2.647596235,0.799736914,0.399999968,1.949999978,2.199999982,2.600000088,2.999999972
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",ZAR,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320981058,6.259469847,6.225900286,2.855060107,7.078889423,6.864630028,7.157859628
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,1.8008246,1.076396317,2.902185091,6.404510783,4.259452774,5.886377313,8.779640959,7.935340515,2.731620422,-1.015718862,4.954320527,4.517746474,5.167582778
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,-2.068400057,0.121371915,-1.667642138,-1.359535942,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387259842,10.70650783
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,3.767496172,3.434404365,5.246474529,5.557907035,4.082810688,4.163840897,4.785190687,5.150082941,2.053110679,-7.383653,-1.701136888,-0.281367268,-2.187589799
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,5.915865714,3.182230186,1.42859081,3.791364597,5.770878841,11.20171308,12.0658059,7.262137034,4.116828059,1.449116717,2.388332912,2.802964336,3.014390465
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,5.673380231,3.576056688,3.220606243,2.788196717,4.379398998,3.863109461,4.516829031,4.893239014,3.62071524,-2.042198118,1.390644058,0.261283105,-2.384531145
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,4.294134332,3.051521405,1.646950568,3.601843373,4.947454577,6.442262581,6.876544673,5.529266605,2.710956215,-4.841786335,2.295089115,1.963780536,-0.808400773
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,3.746892574,0.82315273,0.466302594,0.39009173,2.638949775,2.437027555,3.796740952,0.824418073,-0.717957057,-5.087934006,1.625135885,1.152136945,-0.65522463
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,0.416213964,2.047764375,2.618562398,3.199959328,3.826476088,3.169601156,4.799864683,5.100061387,5.799962619,4.999503141,4.450192961,5.385134251,3.003496437
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,0.375310954,0.473103034,-1.753160254,7.687213049,3.250144236,-0.088242377,4.8828125,6.052141527,7.462686567,-1.14379085,1.074380165,-0.081766149,-1.391162029
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,5.656604877,1.809229488,5.788207316,-0.25335881,1.31195822,9.262750074,10.67115484,8.47462478,3.143711459,0.935781292,8.302152802,2.820884489,2.629506212
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.220345768
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,5.368005967,3.535225678,2.3704891,3.193454737,4.092071611,4.471744472,6.843838194,7.087827427,7.152202939,4.685040602,5.138985832,1.821844376,2.191846905
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,2.152652497,1.708936396,2.340822748,2.30003827,1.850535583,3.562814501,3.911948645,3.839765177,1.274227301,-3.133046282,1.364783667,2.21683561,1.880955461
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,18.21377995,63.37987543,19.46283403,13.95525032,37.99872686,16.74870061,-4.811545183,13.12195049,12.26127602,-8.06195188,-1.300129418,4.995987885,3.220213278
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,-3.141986746,8.755436313,3.005428651,-2.655515364,1.451734363,2.574449601,-0.969216373,1.42682175,-9.783029746,3.87650192,2.194189769,8.679800386,7.017108852
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,9.696269714,6.15810782,6.122039342,7.48005652,6.478126747,9.471125802,10.4127813,7.900134323,-5.327658052,-14.73756319,2.475873851,8.263792513,4.650562696
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,6.073217519,8.301306334,1.51472568,-2.161359716,13.57260313,11.81876596,10.83472707,11.45616699,10.78852169,8.802553193,12.55053833,11.17829624,8.647811053
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fiji,FJI,-1.699999246,1.999998847,3.200000591,0.999998968,5.300000995,0.699999968,1.85248247,-0.850653611,1.032794285,-1.386037503,2.954673156,2.705141495,1.830396564
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,5.634840543,2.580758439,1.680365346,1.993970438,3.926026618,2.779967826,4.055186846,5.184819694,0.720645613,-8.269018743,2.992355336,2.570792586,-1.426177315
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,3.875158261,1.954452429,1.118456057,0.819533268,2.786420554,1.607715493,2.374944836,2.361502077,0.195293168,-2.941338664,1.965657819,2.079228327,0.182689429
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,4.000000343,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gabon,GAB,-1.882948327,2.131673625,-0.249033169,2.247330012,0.689543058,3.900705466,-3.634637434,6.486620089,-3.030191697,-1.195859535,7.441453136,6.326495719,6.502586378
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Gambia, The",GMB,5.500000174,5.800000236,-3.250000307,6.869999803,7.049999934,-0.941675912,1.124099702,3.631025533,5.734641946,6.449695858,6.524632607,-4.328681349,5.862228177
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,1.838341787,4.805452136,5.473838085,11.05810212,5.857329773,9.599640804,9.383276297,12.34399988,2.314047429,-3.775774557,6.253028626,7.199999063,6.182117328
